"bird_sp" "plant_sp" "int_s" "n.studies" "freq" "bird.gape" "seed.size" "family"
"Aburria_jacutinga" "Allophylus_edulis" 1 3 0.333333333333333 19.115 7.69 "Cracidae"
"Aburria_jacutinga" "Cabralea_canjerana" 2 5 0.4 19.115 10 "Cracidae"
"Aburria_jacutinga" "Campomanesia_xanthocarpa" 1 2 0.5 19.115 6 "Cracidae"
"Aburria_jacutinga" "Cecropia_glaziovii" 2 4 0.5 19.115 2 "Cracidae"
"Aburria_jacutinga" "Cecropia_pachystachya" 1 3 0.333333333333333 19.115 2 "Cracidae"
"Aburria_jacutinga" "Citharexylum_myrianthum" 1 2 0.5 19.115 11 "Cracidae"
"Aburria_jacutinga" "Coussapoa_microcarpa" 1 2 0.5 19.115 2.8 "Cracidae"
"Aburria_jacutinga" "Cupania_oblongifolia" 1 2 0.5 19.115 11.8 "Cracidae"
"Aburria_jacutinga" "Cupania_vernalis" 1 1 1 19.115 11 "Cracidae"
"Aburria_jacutinga" "Eugenia_brasiliensis" 1 1 1 19.115 7.1 "Cracidae"
"Aburria_jacutinga" "Eugenia_involucrata" 1 1 1 19.115 12 "Cracidae"
"Aburria_jacutinga" "Euterpe_edulis" 7 7 1 19.115 11.7 "Cracidae"
"Aburria_jacutinga" "Ficus_enormis" 1 1 1 19.115 15 "Cracidae"
"Aburria_jacutinga" "Ficus_luschnathiana" 1 1 1 19.115 1.6 "Cracidae"
"Aburria_jacutinga" "Ficus_pertusa" 1 1 1 19.115 1.1 "Cracidae"
"Aburria_jacutinga" "Guarea_macrophylla" 1 4 0.25 19.115 12.8 "Cracidae"
"Aburria_jacutinga" "Hyeronima_alchorneoides" 1 4 0.25 19.115 4 "Cracidae"
"Aburria_jacutinga" "Marlierea_reitzii" 1 1 1 19.115 10.14 "Cracidae"
"Aburria_jacutinga" "Matayba_elaeagnoides" 1 1 1 19.115 10 "Cracidae"
"Aburria_jacutinga" "Miconia_cabucu" 1 3 0.333333333333333 19.115 2.6 "Cracidae"
"Aburria_jacutinga" "Miconia_inconspicua" 1 1 1 19.115 1.13 "Cracidae"
"Aburria_jacutinga" "Myrsine_coriacea" 2 3 0.666666666666667 19.115 2.99 "Cracidae"
"Aburria_jacutinga" "Myrsine_umbellata" 1 4 0.25 19.115 3.7 "Cracidae"
"Aburria_jacutinga" "Myrsine_venosa" 1 1 1 19.115 4.16 "Cracidae"
"Aburria_jacutinga" "Pourouma_guianensis" 1 2 0.5 19.115 17.5 "Cracidae"
"Aburria_jacutinga" "Protium_widgrenii" 1 2 0.5 19.115 16 "Cracidae"
"Aburria_jacutinga" "Sorocea_bonplandii" 1 1 1 19.115 11.2 "Cracidae"
"Aburria_jacutinga" "Tapirira_guianensis" 1 2 0.5 19.115 6.9 "Cracidae"
"Aburria_jacutinga" "Virola_bicuhyba" 2 5 0.4 19.115 24 "Cracidae"
"Aburria_jacutinga" "Virola_gardneri" 1 1 1 19.115 26 "Cracidae"
"Aburria_jacutinga" "Alchornea_glandulosa" 0 3 0 19.115 8 "Cracidae"
"Aburria_jacutinga" "Callicarpa_reevesii" 0 1 0 19.115 1.4 "Cracidae"
"Aburria_jacutinga" "Miconia_rubiginosa" 0 0 0 19.115 1.27 "Cracidae"
"Aburria_jacutinga" "Protium_spruceanum" 0 0 0 19.115 10 "Cracidae"
"Aburria_jacutinga" "Richeria_grandis" 0 0 0 19.115 6.8 "Cracidae"
"Aburria_jacutinga" "Rubus_rosifolius" 0 1 0 19.115 1.55 "Cracidae"
"Aburria_jacutinga" "Schinus_terebinthifolius" 0 3 0 19.115 3.5 "Cracidae"
"Aburria_jacutinga" "Trema_micrantha" 0 3 0 19.115 2 "Cracidae"
"Aburria_jacutinga" "Miconia_tristis" 0 1 0 19.115 2.11 "Cracidae"
"Aburria_jacutinga" "Myrsine_gardneriana" 0 1 0 19.115 4.6 "Cracidae"
"Aburria_jacutinga" "Alchornea_triplinervia" 0 2 0 19.115 5.8 "Cracidae"
"Aburria_jacutinga" "Copaifera_trapezifolia" 0 1 0 19.115 18.3 "Cracidae"
"Aburria_jacutinga" "Eugenia_uniflora" 0 2 0 19.115 16 "Cracidae"
"Aburria_jacutinga" "Ficus_eximia" 0 1 0 19.115 1.6 "Cracidae"
"Aburria_jacutinga" "Livistona_chinensis" 0 1 0 19.115 14 "Cracidae"
"Aburria_jacutinga" "Maytenus_gonoclada" 0 2 0 19.115 12.5 "Cracidae"
"Aburria_jacutinga" "Miconia_budlejoides" 0 1 0 19.115 1.27 "Cracidae"
"Aburria_jacutinga" "Miconia_cinnamomifolia" 0 2 0 19.115 0.4 "Cracidae"
"Aburria_jacutinga" "Miconia_discolor" 0 1 0 19.115 1.28 "Cracidae"
"Aburria_jacutinga" "Miconia_racemifera" 0 1 0 19.115 1.64 "Cracidae"
"Aburria_jacutinga" "Myrcia_brasiliensis" 0 1 0 19.115 6.19 "Cracidae"
"Aburria_jacutinga" "Prunus_myrtifolia" 0 1 0 19.115 9 "Cracidae"
