"Aburria_jacutinga" "Antilophia_galeata" "Pteroglossus_bailloni" "Cacicus_chrysopterus" "Cacicus_haemorrhous" "Catharus_fuscescens" "Chiroxiphia_caudata" "Chiroxiphia_pareola" "Cissopis_leverianus" "Conirostrum_speciosum" "Coryphospingus_cucullatus" "Coryphospingus_pileatus" "Crax_blumenbachii" "Cyanerpes_cyaneus" "Cyclarhis_gujanensis" "Dacnis_cayana" "Dacnis_nigripes" "Eucometis_penicillata" "Euphonia_chlorotica" "Euphonia_pectoralis" "Euphonia_violacea" "Haplospiza_unicolor" "Hemithraupis_flavicollis" "Hemithraupis_guira" "Hemithraupis_ruficapilla" "Hylophilus_poicilotis" "Hylophilus_thoracicus" "Ilicura_militaris" "Manacus_manacus" "Nemosia_pileata" "Orthogonys_chloricterus" "Penelope_obscura" "Penelope_superciliaris" "Pipra_pipra" "Pipra_rubrocapilla" "Pipraeidea_melanonota" "Poospiza_lateralis" "Pteroglossus_aracari" "Pteroglossus_castanotis" "Pyrrhocoma_ruficeps" "Ramphastos_dicolorus" "Ramphastos_toco" "Ramphastos_vitellinus" "Ramphocelus_bresilius" "Ramphocelus_carbo" "Schistochlamys_ruficapillus" "Selenidera_maculirostris" "Sporophila_caerulescens" "Sporophila_leucoptera" "Stephanophorus_diadematus" "Tachyphonus_coronatus" "Tachyphonus_rufus" "Tangara_cayana" "Tangara_cyanocephala" "Tangara_cyanoptera" "Tangara_cyanoventris" "Tangara_desmaresti" "Tangara_mexicana" "Tangara_peruviana" "Tangara_preciosa" "Tangara_seledon" "Tersina_viridis" "Thlypopsis_sordida" "Thraupis_bonariensis" "Thraupis_cyanoptera" "Thraupis_episcopus" "Thraupis_ornata" "Thraupis_palmarum" "Thraupis_sayaca" "Trichothraupis_melanops" "Turdus_albicollis" "Turdus_amaurochalinus" "Turdus_flavipes" "Turdus_fumigatus" "Turdus_leucomelas" "Turdus_rufiventris" "Turdus_subalaris" "Vireo_olivaceus" "Volatinia_jacarina"
"Allophylus_edulis" 0.333333333333333 0 0 0 0 0 0.666666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0.666666666666667 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0.666666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0.5 0.333333333333333 0 0.333333333333333 0 0 0 0 0.333333333333333 0 0 0
"Cabralea_canjerana" 0.4 1 0.2 0 0.75 1 0.75 0 0 0 0 0 0 0 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0.333333333333333 0 0 0 0.333333333333333 0 0 0 0 0 0 0 0.5 0 0.25 0 0 0 0.333333333333333 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0.166666666666667 0 0.6 0.285714285714286 0 0 0
"Campomanesia_xanthocarpa" 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cecropia_glaziovii" 0.5 0 0.75 0 0.666666666666667 0 0.666666666666667 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0.4 0.25 0 0 0 0 0.5 0 0 0.4 0 0.5 1 0 1 0.5 0 0 0.333333333333333 0.666666666666667 0 0.25 0.5 0 1 0.5 0 0 0 1 0 0 0 0.5 0 1 0 0.8 0 0.4 0 0 0 0 0.333333333333333 0 0 0
"Cecropia_pachystachya" 0.333333333333333 1 0.5 0 0 0 1 0 0 0.333333333333333 0 0 0 0 0 0.714285714285714 0 0 0.75 0 0 0 0 1 0 0 0 0 1 0.333333333333333 0 0 0.2 0 0 0 0 1 0 0 0 0.25 0 0 0.8 0 0 0.333333333333333 0 0 0.6 0.5 0.428571428571429 0 0 0 0 0 0 0 0 0.666666666666667 0.333333333333333 0 0 0.8 0 0.833333333333333 1 0.666666666666667 0 0.142857142857143 0 0 0.714285714285714 0.4 0 0 0.5
"Citharexylum_myrianthum" 0.5 1 0 0 0 0 0.25 0 0 0 0 0 0 0 0 0.142857142857143 0 0 0 0 0.5 0 0 0 0 0 0 0 0.333333333333333 0.333333333333333 1 0 0.333333333333333 0 0 0 0 0 0 0 0.5 0 1 0.333333333333333 0.6 0 0.5 0 0 0 0 0 0.125 0 0 0 0 0 0 0 0 0 0 0 0 0.333333333333333 0 0 0.666666666666667 0 0.333333333333333 0.5 0 0 0.75 0.8 0 0.6 0
"Coussapoa_microcarpa" 0.5 0 0.5 0 0.5 0 0.666666666666667 0 0 0 0 0 0 0 0 0.5 0 0 0 1 1 0 0 0 0.5 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0.5 0.5 0 0 0.75 0 0 0 0.5 0 0 0 0.5 0 1 1 0.333333333333333 0.5 0.666666666666667 0 1 0 0.333333333333333 1 0 0 0
"Cupania_oblongifolia" 0.5 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 1 0.666666666666667 0.333333333333333 0 1 0.5 0 0 0
"Cupania_vernalis" 1 0 0 0 1 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0.5 0 0.5 0 0 0.5 0 1 0
"Eugenia_brasiliensis" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0
"Eugenia_involucrata" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Euterpe_edulis" 1 0 0.833333333333333 0 0.5 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.75 0.25 0 0 0 0 1 0 0 0.777777777777778 0.5 1 0 0 0 0.888888888888889 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.916666666666667 0.4 1 0 0.5 0.666666666666667 0.333333333333333 0 0
"Ficus_enormis" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0
"Ficus_luschnathiana" 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0.5 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0.5 0 0 0.5 0 0 0
"Ficus_pertusa" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Guarea_macrophylla" 0.25 0 0 0 0 0 0.666666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.25 0 0 0 0.4 0.166666666666667 0 0 0
"Hyeronima_alchorneoides" 0.25 0 0.666666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0.333333333333333 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0.5 0 0 0.333333333333333 0 0 0 0 0 0 0.5 0 0 0 0 0.5 0 0 0 0 0 0 0 0.333333333333333 0.666666666666667 0 0.333333333333333 0 0 0.333333333333333 0 0 0
"Marlierea_reitzii" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Matayba_elaeagnoides" 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0
"Miconia_cabucu" 0.333333333333333 0 0.333333333333333 0 0.5 0 0.333333333333333 0 0 0 0 0 0 0 0 0.333333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0.333333333333333 0 0 0 0 0 0 0.333333333333333 0 0 0 0.5 0 0 0 0 0 0 0 0.333333333333333 0 0 0 0 0 0
"Miconia_inconspicua" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0
"Myrsine_coriacea" 0.666666666666667 0 0.333333333333333 0.666666666666667 1 0 0.666666666666667 0 1 0.5 0 0 0 0 0.5 0.666666666666667 0 0 0 1 0.5 0 0 1 0 0.666666666666667 0 1 0 0 0 0.333333333333333 0.5 0 0 0 0 0 0 0 0.8 0 0 0 1 0 0 1 0 1 0.75 0 1 1 0 0 1 0 0 0.5 1 0.666666666666667 0 0 1 0.333333333333333 1 0.75 0.8 0 0.666666666666667 0.75 0.4 0 0.714285714285714 0.714285714285714 0 0.833333333333333 0
