"Cacicus_chrysopterus" "Cacicus_haemorrhous" "Chiroxiphia_caudata" "Conirostrum_speciosum" "Cyclarhis_gujanensis" "Dacnis_cayana" "Euphonia_chlorotica" "Euphonia_violacea" "Penelope_obscura" "Penelope_superciliaris" "Pipraeidea_melanonota" "Ramphastos_dicolorus" "Ramphocelus_carbo" "Selenidera_maculirostris" "Tachyphonus_coronatus" "Tangara_cayana" "Tangara_cyanocephala" "Tangara_desmaresti" "Tersina_viridis" "Thraupis_palmarum" "Thraupis_sayaca" "Trichothraupis_melanops" "Turdus_albicollis" "Turdus_amaurochalinus" "Turdus_flavipes" "Turdus_leucomelas" "Turdus_rufiventris" "Vireo_olivaceus"
"Aegiphila_integrifolia" 0 0.5 0.25 0 0 0.666666666666667 0 0 0 0.5 0 0.5 0 0 0.5 0.333333333333333 0 0 0 0.25 0.6 0 0.25 0.333333333333333 0 0.5 0.666666666666667 0.4
"Alchornea_glandulosa" 0.666666666666667 1 0.333333333333333 0.5 0.333333333333333 0.777777777777778 0 0 0 0.25 0.666666666666667 0 0.333333333333333 0.25 1 0.5 0.75 0.333333333333333 0.666666666666667 0.6 0.75 0 0.428571428571429 0.333333333333333 0.6 0.666666666666667 0.5 0.857142857142857
"Alchornea_triplinervia" 0 0.5 1 0 0.5 0.5 0 0 0 0.666666666666667 1 0 0 0 0.666666666666667 0 0 0.666666666666667 0 0 0 0.333333333333333 1 0.25 0.5 0 0.5 0.5
"Allophylus_edulis" 0 0 0.666666666666667 0 0 0 0 0 0.5 0.666666666666667 0 0.5 0 0 0.666666666666667 0 0.5 0 0 0.5 0.333333333333333 0 0.333333333333333 0 0 0 0.333333333333333 0
"Cabralea_canjerana" 0.5 0.75 0.75 0 0.25 0.5 0 0 0 0.333333333333333 0.25 0.5 0 0.333333333333333 0 0.333333333333333 0 0 0 0 0 0 0.5 0 0.166666666666667 0.6 0.285714285714286 0.6
"Campomanesia_xanthocarpa" 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Casearia_sylvestris" 0 0 0 0 1 0.714285714285714 0 0 0.333333333333333 0.333333333333333 0 0 0.333333333333333 0 0.833333333333333 0.5 0 0 1 0 0.666666666666667 0.666666666666667 0.5 0.25 0.333333333333333 0.428571428571429 0.428571428571429 0.6
"Cecropia_glaziovii" 0 0.666666666666667 0.666666666666667 0 0 0 0 1 0.4 0.25 0 0.4 0 0.5 0.666666666666667 0.25 0.5 0.5 0 0 0.8 0 0.4 0 0 0 0.333333333333333 0
"Cecropia_hololeuca" 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cecropia_pachystachya" 0 0 1 0.333333333333333 0 0.714285714285714 0.75 0 0 0.2 0 0 0.8 0 0.6 0.428571428571429 0 0 0.666666666666667 0.833333333333333 1 0.666666666666667 0 0.142857142857143 0 0.714285714285714 0.4 0
"Citharexylum_myrianthum" 0 0 0.25 0.2 0 0.142857142857143 0 0.5 0 0.333333333333333 0 0.5 0.6 0.5 0 0.125 0 0 0 0 0.666666666666667 0 0.333333333333333 0.5 0 0.75 0.8 0.6
"Copaifera_langsdorffii" 0 0 0.333333333333333 0.333333333333333 0 0.2 0 0 0 0.25 0 0.5 0.333333333333333 0 0.333333333333333 0.5 0 0 0 0 0.5 0 0.333333333333333 0.4 0 0.5 0.2 0
"Coussapoa_microcarpa" 0 0.5 0.666666666666667 0 0 0.5 0 1 1 0 0 1 0 1 1 0.5 0.5 0.75 0 1 0.333333333333333 0.5 0.666666666666667 0 1 0.333333333333333 1 0
"Cupania_oblongifolia" 0 1 0 0 0 1 1 0 0 0 1 0.5 0 0 0 0 0 1 0 0.333333333333333 0.5 0 1 0.666666666666667 0.333333333333333 1 0.5 0
"Eriobotrya_japonica" 0.5 0 0 0 0 1 0 1 0.666666666666667 0 0 0.666666666666667 0 0 1 0.5 0.5 1 0 0.666666666666667 0 0.5 0 0.333333333333333 0.333333333333333 0.333333333333333 0.333333333333333 0
